FireTruck,Rescue_veh,Water truc,Ambulance,count,levbycount,Total,comp_norm,Type,HBcount,LBcount,MBcount,C_count,R_count,I_count,others,Special_Co,To_Bui_Co,MED_Pop,LOW_Pop,High_Pop,Tot_Pop,Arr,Pop_22_10,Pop_10_22,compact_1,srid,compact,Intensity,Avgres,Output lay,Output l_1,X,Y,X,Y,PopupInfo,level,count
2,1,2,0,2,4,5,344.454222222,RCS,2,40,35,0,50,24,School,3,77,1260,2560,352,4172,19160,1696,1384,7.11078,1,0.276666667,0,0,344.454222222,344.454,72.8352,19.00585,72.8352,19.0058499999999,LOW MED HIGH RISE,8,2
1,0,0,0,1,1,1,2.55444444444,I,0,11,0,0,0,11,,0,11,0,704,0,704,2090,66,198,0.293333,2,0.026888889,0,0,2.55444444444,2.55444,72.858,19.00615,72.858,19.00615,LOW RISE,0,0
1,0,0,0,1,1,1,0.08444444444,I,0,2,0,0,0,2,,0,2,0,128,0,128,380,12,36,0.0533333,3,0.004888889,0,0,0.08444444444,0.0844444,72.86082515,19.00614211,72.8608251499999,19.0061421099999,LOW RISE,0,0
1,0,0,0,1,1,1,0.08444444444,I,0,2,0,0,0,2,,0,2,0,128,0,128,380,12,36,0.0533333,4,0.004888889,0,0,0.08444444444,0.0844444,72.86368333,19.00618333,72.86368333,19.0061833299999,LOW RISE,0,0
1,0,0,0,1,1,1,2.11111111111,I,0,10,0,0,0,10,,0,10,0,640,0,640,1900,60,180,0.266667,5,0.024444444,0,0,2.11111111111,2.11111,72.86087485,19.00345789,72.86087485,19.00345789,LOW RISE,0,0
1,0,0,0,1,1,1,62.1319999999999,RI,8,0,7,0,13,2,dairy,0,15,252,0,1408,1660,6340,501,352,5.03922,6,0.094888889,0,0,62.132,62.132,72.81247485,19.00015789,72.81247485,19.00015789,MED HIGH RISE,0,0
1,0,0,0,1,1,1,867.536888889,RC,4,50,60,8,106,0,,0,114,2160,3200,704,6064,29620,3232,2158,11.9826999999999,7,0.433333333,0,0,867.536888889,867.537,72.81817485,19.00025789,72.81817485,19.00025789,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,294.844444443999,RCS,0,100,8,20,87,0,School,1,108,288,6400,0,6688,21400,2547,2264,3.81778,8,0.281777778,0,0,294.844444444,294.844,72.85807455,19.00070788,72.8580745499999,19.00070788,LOW MED RISE,0,0
1,0,0,0,1,1,1,44.1,RSI,0,0,21,15,0,2,,4,21,756,0,0,756,6300,163,1068,3.02167,9,0.098,0,0,44.1,44.1,72.86092515,19.0007421,72.86092515,19.0007421,MEDIUM RISE,0,0
1,0,0,0,1,1,1,593.338666666999,RC,8,120,2,16,114,0,,0,130,72,7680,1408,9160,27640,3366,2452,7.51978,10,0.364888889,0,0,593.338666667,593.339,72.81252515,18.9974421,72.8125251499999,18.9974421,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,326.733333333,RSCI,10,40,15,20,37,6,,2,65,540,2560,1760,4860,17400,1341,1930,8.265,11,0.245555556,0,0,326.733333333,326.733,72.81822515,18.99754211,72.81822515,18.99754211,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,1678.12088889,RSCI,22,140,12,25,140,2,School Hospital collage,7,174,432,8960,3872,1326,41860,4403,3780,16.5479999999999,12,0.569333333,0,0,1678.12088889,1678.12,72.8467,18.99785,72.8466999999999,18.99785,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,742,R,0,120,30,0,150,0,,0,150,1080,7680,0,8760,31800,4290,2100,7.51667,13,0.433333333,0,0,742,742,72.81257485,18.99475789,72.81257485,18.9947578899999,LOW MED RISE,0,0
1,0,0,0,1,1,1,327.085333332999,RS,2,80,15,0,91,0,,6,97,540,5120,352,6012,20760,2661,1484,5.29967,14,0.281111111,0,0,327.085333333,327.085,72.81826607,18.99483274,72.81826607,18.99483274,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,230.844444444,RSCI,0,100,2,5,95,1,Office,1,102,72,6400,0,6472,19600,2699,1561,2.95444,15,0.253777778,0,0,230.844444444,230.844,72.85527485,18.99525789,72.85527485,18.99525789,LOW MED RISE,0,0
1,0,0,0,1,1,1,0.08444444444,S,0,2,0,0,0,0,,2,2,0,128,0,128,380,14,66,0.0533333,16,0.004888889,0,0,0.08444444444,0.0844444,72.85813393,18.99526726,72.8581339299999,18.9952672599999,LOW RISE,0,0
1,0,0,0,1,1,1,448.970666666999,RC,2,119,7,4,124,0,,0,128,252,7616,352,8220,25770,3535,1887,5.18856,17,0.339111111,0,0,448.970666667,448.971,72.8126,18.99205,72.8126,18.9920499999999,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,130.5,SI,0,45,15,0,0,32,,28,60,540,2880,0,3420,13050,433,1575,3.35833,18,0.18,0,0,130.5,130.5,72.82682545,18.99219212,72.82682545,18.9921921199999,LOW MED RISE,0,0
1,0,0,0,1,1,1,232.277777778,RI,0,80,11,0,62,29,,0,91,396,5120,0,5516,18500,1943,1383,3.71611,19,0.246888889,0,0,232.277777778,232.278,72.85532515,18.9925421,72.8553251499999,18.9925421,LOW MED RISE,0,0
1,0,0,0,1,1,1,0.52777777778,S,0,5,0,0,0,0,,5,5,0,320,0,320,950,35,165,0.133333,20,0.012222222,0,0,0.52777777778,0.527778,72.8582,18.98985,72.8581999999999,18.98985,LOW RISE,0,0
1,0,0,0,1,1,1,14.4,CS,0,0,12,8,0,0,dargah,4,12,432,0,0,432,3600,96,616,1.72667,21,0.056,0,0,14.4,14.4,72.81267485,18.9866579,72.8126748499999,18.9866579,MEDIUM RISE,0,0
1,0,0,0,1,1,1,8.44444444444,S,0,20,0,0,0,0,Race_Course,20,20,0,1280,0,1280,3800,140,660,0.533333,22,0.048888889,0,0,8.44444444444,8.44444,72.81837455,18.98670788,72.81837455,18.98670788,LOW RISE,0,0
1,0,0,0,1,1,1,19,I,0,30,0,0,0,30,Mills,0,30,0,1920,0,1920,5700,180,540,0.8,23,0.073333333,0,0,19,19,72.8497,18.98705,72.8496999999999,18.98705,LOW RISE,0,0
1,0,0,0,1,1,1,4.75,I,0,15,0,0,0,15,,0,15,0,960,0,960,2850,90,270,0.4,24,0.036666667,0,0,4.75,4.75,72.85822515,18.98714211,72.8582251499999,18.98714211,LOW RISE,0,0
1,0,0,0,1,1,1,2.5,R,0,0,5,0,5,0,,0,5,180,0,0,180,1500,155,90,0.719444,25,0.023333333,0,0,2.5,2.5,72.81555,18.98395,72.81555,18.98395,MEDIUM RISE,0,0
1,0,0,0,1,1,1,0.08444444444,C,0,2,0,2,0,0,,0,2,0,128,0,128,380,8,106,0.0533333,26,0.004888889,0,0,0.08444444444,0.0844444,72.81840848,18.98397515,72.81840848,18.9839751499999,LOW RISE,0,0
1,0,0,0,1,1,1,4.75,I,0,15,0,0,0,15,Petrol industry,0,15,0,960,0,960,2850,90,270,0.4,27,0.036666667,0,0,4.75,4.75,72.85827485,18.9844579,72.85827485,18.9844578999999,LOW RISE,0,0
1,0,0,0,1,1,1,2.5,R,0,0,5,0,5,0,,0,5,180,0,0,180,1500,155,90,0.719444,28,0.023333333,0,0,2.5,2.5,72.81272545,18.98119212,72.81272545,18.9811921199999,MEDIUM RISE,0,0
4,2,3,1,1,5,10,120.733999999999,RSCI,1,24,21,15,6,12,,13,46,756,1536,176,2468,11390,467,1637,4.16567,29,0.164444444,0,0,120.734,120.734,72.83267485,18.98145789,72.83267485,18.98145789,LOW MED HIGH RISE,5,1
2,1,1,0,2,3,4,135.111111111,SI,0,80,0,0,0,40,godown,40,80,0,5120,0,5120,15200,520,2040,2.13333,30,0.195555556,0,0,135.111111111,135.111,72.85262515,18.9816421,72.8526251499999,18.9816420999999,LOW RISE,6,2
1,0,0,0,1,1,1,103.444444444,I,0,70,0,0,0,70,Petrol industry,0,70,0,4480,0,4480,13300,420,1260,1.86667,31,0.171111111,0,0,103.444444444,103.444,72.85547455,18.98170788,72.8554745499999,18.9817078799999,LOW RISE,0,0
1,0,0,0,1,1,1,132.111111111,SI,0,70,4,0,0,70,Petrolium Industry,4,74,144,4480,0,4624,14500,460,1412,2.44222,32,0.189777778,0,0,132.111111111,132.111,72.8583,18.98175,72.8583,18.98175,LOW MED RISE,0,0
1,0,0,0,1,1,1,3.6,S,0,0,6,0,0,0,Office,6,6,216,0,0,216,1800,60,228,0.863333,33,0.028,0,0,3.6,3.6,72.86115,18.98175,72.8611499999999,18.98175,MEDIUM RISE,0,0
1,1,1,0,1,2,3,151.111111111,RC,0,40,20,10,50,0,,0,60,720,2560,0,3280,13600,1500,1280,3.94444,34,0.191111111,0,0,151.111111111,151.111,72.80707485,18.9784579,72.80707485,18.9784578999999,LOW MED RISE,2,1
1,0,1,0,1,1,2,74.7999999999999,RC,10,0,5,5,10,0,,0,15,180,0,1760,1940,6800,445,560,5.75944,35,0.101111111,0,0,74.8,74.8,72.80992515,18.97844211,72.8099251499999,18.97844211,MED HIGH RISE,1,1
1,0,0,0,1,1,1,6.4,S,0,0,8,0,0,0,Hospital,8,8,288,0,0,288,2400,80,304,1.15111,36,0.037333333,0,0,6.4,6.4,72.81277455,18.97850788,72.81277455,18.9785078799999,MEDIUM RISE,0,0
1,0,0,0,1,1,1,10,S,0,0,10,0,0,0,Hospital,10,10,360,0,0,360,3000,100,380,1.43889,37,0.046666667,0,0,10,10,72.81562515,18.97854211,72.81562515,18.9785421099999,MEDIUM RISE,0,0
1,0,0,0,1,1,1,47.0164444444,RS,3,10,10,2,11,0,Railway station,10,23,360,640,528,1528,6490,455,671,3.21756,38,0.094444444,0,0,47.0164444444,47.0164,72.82132545,18.97859212,72.82132545,18.9785921199999,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,31.6586666667,R,8,0,0,0,8,0,,0,8,0,0,1408,1408,4240,328,216,4.032,39,0.062222222,0,0,31.6586666667,31.6587,72.82417485,18.97865789,72.82417485,18.97865789,HIGH RISE,0,0
1,0,0,0,1,1,1,297.289777777999,RSCI,3,80,10,50,24,17,School,2,93,360,5120,528,6008,19790,1057,3426,5.08422,40,0.265555556,0,0,297.289777778,297.29,72.82702515,18.97864211,72.8270251499999,18.9786421099999,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,0.4,C,0,0,2,2,0,0,,0,2,72,0,0,72,600,14,116,0.287778,41,0.009333333,0,0,0.4,0.4,72.83555,18.97875,72.8355499999999,18.97875,MEDIUM RISE,0,0
1,0,0,0,1,1,1,2.5,C,0,0,5,5,0,0,,0,5,180,0,0,180,1500,35,290,0.719444,42,0.023333333,0,0,2.5,2.5,72.8555,18.979,72.8555,18.9789999999999,MEDIUM RISE,0,0
1,0,0,0,1,1,1,49.4666666667,R,10,0,0,0,10,0,,0,10,0,0,1760,1760,5300,410,270,5.04,43,0.077777778,0,0,49.4666666667,49.4667,72.80428333,18.97568333,72.80428333,18.9756833299999,HIGH RISE,0,0
1,0,0,0,1,1,1,8.1,CS,0,0,9,7,0,0,Sports Club,2,9,324,0,0,324,2700,69,482,1.295,44,0.042,0,0,8.1,8.1,72.81564121,18.97582485,72.8156412099999,18.9758248499999,MEDIUM RISE,0,0
1,0,0,0,1,1,1,536.399999999999,RCS,15,60,10,40,33,0,School Hospital,12,85,360,3840,2640,6840,22350,1393,3205,10.5989,45,0.31,0,0,536.4,536.4,72.82135879,18.97587515,72.82135879,18.97587515,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,371.777777777999,CI,0,110,10,60,0,60,,0,120,360,7040,0,7400,23900,630,4310,4.37222,46,0.315555556,0,0,371.777777778,371.778,72.84981667,18.97621667,72.8498166699999,18.9762166699999,LOW MED RISE,0,0
1,0,0,0,1,1,1,46.0679999999999,RSCI,1,15,12,7,6,12,railway station,3,28,432,960,176,1568,6980,338,838,2.63067,47,0.100444444,0,0,46.068,46.068,72.83277455,18.97330788,72.8327745499999,18.97330788,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,103.444444444,CI,0,70,0,20,0,50,Cotton MIlls,0,70,0,4480,0,4480,13300,380,1960,1.86667,48,0.171111111,0,0,103.444444444,103.444,72.84705,18.97075,72.8470499999999,18.9707499999999,LOW RISE,0,0
1,0,0,0,1,1,1,918.528,RCS,16,40,40,40,51,0,Hospital,5,96,1440,2560,2816,6816,28080,1951,3372,14.8862,49,0.408888889,0,0,918.528,918.528,72.8243,18.9678,72.8242999999999,18.9678,LOW MED HIGH RISE,0,0
1,1,1,0,2,2,3,80.0833333333,R,5,0,17,0,22,0,,0,22,612,0,880,1492,7750,732,441,4.96611,50,0.118222222,0,0,80.0833333333,80.0833,72.80156607,18.96483274,72.80156607,18.9648327399999,MED HIGH RISE,4,2
1,0,0,0,1,1,1,2.5,I,0,0,5,0,0,5,dockyard,0,5,180,0,0,180,1500,45,115,0.719444,51,0.023333333,0,0,2.5,2.5,72.84998333,18.96538333,72.84998333,18.96538333,MEDIUM RISE,0,0
2,2,2,1,3,2,7,714.298666667,R,38,0,0,0,38,0,,0,38,0,0,6688,6688,20140,1558,1026,19.152,52,0.295555556,0,0,714.298666667,714.299,72.80442515,18.96214211,72.80442515,18.9621421099999,HIGH RISE,6,3
1,0,0,0,1,1,1,170.866666667,R,5,0,30,0,35,0,,0,35,1080,0,880,1960,11650,1135,675,6.83667,53,0.178888889,0,0,170.866666667,170.867,72.80727485,18.96215789,72.8072748499999,18.96215789,MED HIGH RISE,0,0
1,0,0,0,1,1,1,4.75,S,0,15,0,0,0,0,railway doc,15,15,0,960,0,960,2850,105,495,0.4,54,0.036666667,0,0,4.75,4.75,72.84147485,18.9625579,72.8414748499999,18.9625579,LOW RISE,0,0
1,0,0,0,1,1,1,8.44444444444,RI,0,20,0,0,8,12,Petrolium,0,20,0,1280,0,1280,3800,296,320,0.533333,55,0.048888889,0,0,8.44444444444,8.44444,72.84432545,18.96259212,72.8443254499999,18.96259212,LOW RISE,0,0
1,0,0,0,1,1,1,10,R,0,0,10,0,10,0,,0,10,360,0,0,360,3000,310,180,1.43889,56,0.046666667,0,0,10,10,72.80447485,18.95945789,72.80447485,18.9594578899999,MEDIUM RISE,0,0
1,0,0,0,1,1,1,36.1,CI,0,0,19,4,0,15,,0,19,684,0,0,684,5700,163,577,2.73389,57,0.088666667,0,0,36.1,36.1,72.84435,18.9599,72.84435,18.9599,MEDIUM RISE,0,0
1,0,0,0,1,1,1,8.44444444444,CI,0,20,0,10,0,10,Industry,0,20,0,1280,0,1280,3800,100,710,0.533333,58,0.048888889,0,0,8.44444444444,8.44444,72.8472,18.95995,72.8472,18.9599499999999,LOW RISE,0,0
1,0,0,0,1,1,1,69.8942222222,R,2,40,3,0,45,0,,0,45,108,2560,352,3020,9560,1295,628,2.50633,59,0.127333333,0,0,69.8942222222,69.8942,72.79596607,18.95663274,72.79596607,18.95663274,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,3.6,R,0,0,6,0,6,0,,0,6,216,0,0,216,1800,186,108,0.863333,60,0.028,0,0,3.6,3.6,72.80451667,18.95671667,72.8045166699999,18.9567166699999,MEDIUM RISE,0,0
1,0,0,0,1,1,1,217.361111111,RIC,0,35,30,20,32,13,,0,65,1080,2240,0,3320,15650,1144,1860,5.25,61,0.225555556,0,0,217.361111111,217.361,72.83866607,18.95713274,72.83866607,18.9571327399999,LOW MED RISE,0,0
1,0,0,0,1,1,1,1.97866666667,R,2,0,0,0,2,0,,0,2,0,0,352,352,1060,82,54,1.008,62,0.015555556,0,0,1.97866666667,1.97867,72.79317485,18.95385789,72.79317485,18.9538578899999,HIGH RISE,0,0
1,0,0,0,1,1,1,62.5,RIC,0,0,25,8,15,0,,2,25,900,0,0,900,7500,541,810,3.59722,63,0.116666667,0,0,62.5,62.5,72.80455,18.954,72.80455,18.954,MEDIUM RISE,0,0
1,0,0,0,1,1,1,8.1,C,0,0,9,9,0,0,,0,9,324,0,0,324,2700,63,522,1.295,64,0.042,0,0,8.1,8.1,72.81307455,18.95410788,72.8130745499999,18.9541078799999,MEDIUM RISE,0,0
1,0,0,0,1,1,1,0.19,C,0,3,0,3,0,0,,0,3,0,192,0,192,570,12,159,0.08,65,0.007333333,0,0,0.19,0.19,72.84442515,18.95444211,72.84442515,18.9544421099999,LOW RISE,0,0
1,0,0,0,1,1,1,114.342,RC,3,0,27,2,28,0,,0,30,972,0,528,1500,9690,912,647,5.397,66,0.149333333,0,0,114.342,114.342,72.79887485,18.95125789,72.79887485,18.95125789,MED HIGH RISE,0,0
1,0,0,0,1,1,1,137.461333333,R,4,0,28,14,18,0,,0,32,1008,0,704,1712,10520,696,1172,6.04489,67,0.161777778,0,0,137.461333333,137.461,72.80457455,18.95130788,72.8045745499999,18.95130788,MED HIGH RISE,0,0
1,0,0,0,1,1,1,0.33777777778,I,0,4,0,0,0,4,,0,4,0,256,0,256,760,24,72,0.106667,68,0.009777778,0,0,0.33777777778,0.337778,72.84445,18.95175,72.8444499999999,18.95175,LOW RISE,0,0
1,0,0,0,1,1,1,144.725333333,RCS,8,0,20,3,23,0,,2,28,720,0,1408,2128,10240,834,736,6.90978,69,0.155555556,0,0,144.725333333,144.725,72.79892515,18.94854211,72.79892515,18.94854211,MED HIGH RISE,0,0
1,0,0,0,1,1,1,0.49466666667,R,1,0,0,6,7,0,,0,1,0,0,176,176,530,209,387,0.504,70,0.007777778,0,0,0.49466666667,0.494667,72.81887485,18.94875789,72.81887485,18.94875789,MED HIGH RISE,0,0
1,0,0,0,1,1,1,52.1444444444,R,0,8,19,0,27,0,,0,27,684,512,0,1196,7220,813,446,2.94722,71,0.108222222,0,0,52.1444444444,52.1444,72.8217,18.9488,72.8217,18.9487999999999,LOW MED RISE,0,0
1,0,0,0,1,1,1,0.4,C,0,0,2,2,0,0,Play ground,0,2,72,0,0,72,600,14,116,0.287778,72,0.009333333,0,0,0.4,0.4,72.82173393,18.94606726,72.8217339299999,18.94606726,MEDIUM RISE,0,0
1,0,0,0,1,1,1,0.76,C,0,6,0,6,0,0,,0,6,0,384,0,384,1140,24,318,0.16,73,0.014666667,0,0,0.76,0.76,72.83883393,18.94626726,72.83883393,18.9462672599999,LOW RISE,0,0
1,0,0,0,1,1,1,1.71,I,0,9,0,0,0,9,Ship yard,0,9,0,576,0,576,1710,54,162,0.24,74,0.022,0,0,1.71,1.71,72.84452515,18.94634211,72.8445251499999,18.94634211,LOW RISE,0,0
1,0,0,0,1,1,1,16.5599999999999,RS,2,11,3,0,6,0,Rajbhavan,10,16,108,704,352,1164,4050,273,451,1.733,75,0.056444444,0,0,16.56,16.56,72.7933,18.94305,72.7933,18.9430499999999,LOW MED HIGH RISE,0,0
1,0,0,0,1,1,1,4.9,R,0,0,7,0,7,0,,0,7,252,0,0,252,2100,217,126,1.00722,76,0.032666667,0,0,4.9,4.9,72.79615,18.94305,72.7961499999999,18.9430499999999,MEDIUM RISE,0,0
1,0,0,0,1,1,1,0.08444444444,C,0,2,0,2,0,0,,0,2,0,128,0,128,380,8,106,0.0533333,77,0.004888889,0,0,0.08444444444,0.0844444,72.82177485,18.9433579,72.8217748499999,18.9433578999999,LOW RISE,0,0
1,0,0,0,1,1,1,160,RI,0,0,40,20,17,3,Ship Yard,0,40,1440,0,0,1440,12000,694,1535,5.75556,78,0.186666667,0,0,160,160,72.83887485,18.94355789,72.8388748499999,18.94355789,MEDIUM RISE,0,0
1,0,0,0,1,1,1,0.19,C,0,3,0,3,0,0,Ship Yard,0,3,0,192,0,192,570,12,159,0.08,79,0.007333333,0,0,0.19,0.19,72.8417,18.9436,72.8417,18.9436,LOW RISE,0,0
1,0,0,0,1,1,1,0.19,C,0,3,0,3,0,0,Ship Yard,0,3,0,192,0,192,570,12,159,0.08,80,0.007333333,0,0,0.19,0.19,72.84455,18.94365,72.8445499999999,18.94365,LOW RISE,0,0
1,0,0,0,1,1,1,10,S,0,0,10,0,0,0,rajbhavan,10,10,360,0,0,360,3000,100,380,1.43889,81,0.046666667,0,0,10,10,72.79332515,18.94034211,72.79332515,18.94034211,MEDIUM RISE,0,0
1,0,0,0,1,1,1,44.1,RC,0,0,21,4,17,0,,0,21,756,0,0,756,6300,555,538,3.02167,82,0.098,0,0,44.1,44.1,72.82467455,18.94070788,72.8246745499999,18.94070788,MEDIUM RISE,0,0
1,0,0,0,1,1,1,0.9,R,0,0,3,0,3,0,,0,3,108,0,0,108,900,93,54,0.431667,83,0.014,0,0,0.9,0.9,72.83035,18.94075,72.8303499999999,18.94075,MEDIUM RISE,0,0
1,0,0,0,1,1,1,0.08444444444,I,0,2,0,0,0,2,Ship yard,0,2,0,128,0,128,380,12,36,0.0533333,84,0.004888889,0,0,0.08444444444,0.0844444,72.84172545,18.94089212,72.8417254499999,18.94089212,LOW RISE,0,0
1,0,0,0,1,1,1,0.08444444444,I,0,2,0,0,0,2,Ship yard,0,2,0,128,0,128,380,12,36,0.0533333,85,0.004888889,0,0,0.08444444444,0.0844444,72.84457485,18.94095789,72.84457485,18.94095789,LOW RISE,0,0
1,0,0,0,1,1,1,69.1166666666999,RC,5,0,15,5,15,0,,0,20,540,0,880,1420,7150,550,605,4.67833,86,0.108888889,0,0,69.1166666667,69.1167,72.8247,18.938,72.8247,18.9379999999999,MED HIGH RISE,0,0
1,0,0,0,1,1,1,1.35111111111,C,0,8,0,8,0,0,,0,8,0,512,0,512,1520,32,424,0.213333,87,0.019555556,0,0,1.35111111111,1.35111,72.83037485,18.93805789,72.8303748499999,18.93805789,LOW RISE,0,0
1,0,0,0,1,1,1,0.76,C,0,6,0,6,0,0,,0,6,0,384,0,384,1140,24,318,0.16,88,0.014666667,0,0,0.76,0.76,72.84177455,18.93820788,72.8417745499999,18.93820788,LOW RISE,0,0
1,0,0,0,1,1,1,0.4,I,0,0,2,0,0,2,,0,2,72,0,0,72,600,18,46,0.287778,89,0.009333333,0,0,0.4,0.4,72.84462515,18.9382421,72.8446251499999,18.9382421,LOW MED RISE,0,0
1,0,0,0,1,1,1,137.461333333,RC,4,0,28,10,22,0,,0,32,1008,0,704,1712,10520,792,1012,6.04489,90,0.161777778,0,0,137.461333333,137.461,72.83042515,18.93534211,72.8304251499999,18.93534211,MED HIGH RISE,0,0
1,0,0,0,1,1,1,0.9,R,0,0,3,0,3,0,,0,3,108,0,0,108,900,93,54,0.431667,91,0.014,0,0,0.9,0.9,72.82192515,18.93254211,72.8219251499999,18.93254211,MEDIUM RISE,0,0
1,0,0,0,1,1,1,62.5,RIC,0,0,25,3,18,4,,0,25,900,0,0,900,7500,615,590,3.59722,92,0.116666667,0,0,62.5,62.5,72.8276,18.9326,72.8276,18.9326,MEDIUM RISE,0,0
1,0,0,0,1,1,1,26.488,RC,1,0,14,3,12,0,,0,15,504,0,176,680,4730,403,399,2.51844,93,0.073111111,0,0,26.488,26.488,72.82195,18.92985,72.82195,18.9298499999999,MED HIGH RISE,0,0
1,0,0,0,1,1,1,7.91466666667,C,4,0,0,4,0,0,,0,4,0,0,704,704,2120,68,268,2.016,94,0.031111111,0,0,7.91466666667,7.91467,72.81913393,18.92706726,72.81913393,18.92706726,HIGH RISE,0,0
1,0,0,0,1,1,1,22.2933333333,C,4,12,0,16,0,0,,0,16,0,768,704,1472,4400,116,904,2.336,95,0.060444444,0,0,22.2933333333,22.2933,72.82482515,18.92714211,72.8248251499999,18.9271421099999,LOW HIGH RISE,0,0
1,0,0,0,1,1,1,14.2946666667,C,4,0,3,7,0,0,,0,7,108,0,704,812,3020,89,442,2.44767,96,0.045111111,0,0,14.2946666667,14.2947,72.81917485,18.92435789,72.8191748499999,18.92435789,MED HIGH RISE,0,0
1,0,0,0,1,1,1,62.7413333332999,RC,4,0,16,10,10,0,,0,20,576,0,704,1280,6920,420,796,4.31822,97,0.105777778,0,0,62.7413333333,62.7413,72.82775,18.92175,72.8277499999999,18.9217499999999,MED HIGH RISE,0,0
1,0,0,0,1,1,1,1.97866666667,R,2,0,0,0,2,0,,0,2,0,0,352,352,1060,82,54,1.008,98,0.015555556,0,0,1.97866666667,1.97867,72.8164,18.91895,72.8164,18.9189499999999,HIGH RISE,0,0
1,0,0,0,1,1,1,6.4,R,0,0,8,0,0,8,,0,8,288,0,0,288,2400,72,184,1.15111,99,0.037333333,0,0,6.4,6.4,72.83347485,18.91915789,72.83347485,18.91915789,MEDIUM RISE,0,0
1,0,0,0,1,1,1,31.6586666667,RC,8,0,0,6,2,0,,0,8,0,0,1408,1408,4240,184,456,4.032,100,0.062222222,0,0,31.6586666667,31.6587,72.81641667,18.91621667,72.8164166699999,18.91621667,HIGH RISE,0,0
1,1,1,0,2,2,3,202.344222222,RC,7,50,5,5,57,0,,0,62,180,3200,1232,4612,14710,1722,1129,5.58078,101,0.2,0,0,202.344222222,202.344,72.82213393,18.91626726,72.82213393,18.91626726,LOW MED HIGH RISE,4,2
2,1,2,0,2,2,5,585.751999999999,R,3,150,0,0,153,0,,0,153,0,9600,528,1012,30090,4323,2031,5.512,102,0.39,0,0,585.752,585.752,72.81077485,18.91345789,72.81077485,18.91345789,LOW HIGH RISE,4,2
2,2,2,1,1,3,7,605.659111111,RS,6,130,3,0,134,0,World Trade center,5,139,108,8320,1056,9484,28780,3874,2006,6.92233,103,0.378444444,0,0,605.659111111,605.659,72.81647455,18.91350788,72.8164745499999,18.91350788,LOW MED HIGH RISE,3,1
1,0,0,0,1,1,1,40,RC,0,0,20,16,4,0,,0,20,720,0,0,720,6000,236,1000,2.87778,104,0.093333333,0,0,40,40,72.82785,18.91365,72.8278499999999,18.91365,MEDIUM RISE,0,0
2,2,2,0,1,2,6,497.351999999999,RC,12,90,0,3,99,0,,0,102,0,5760,2112,7872,23460,2940,1614,8.448,105,0.313333333,0,0,497.352,497.352,72.80797455,18.91070788,72.8079745499999,18.91070788,LOW HIGH RISE,2,1
1,0,0,0,1,1,1,40.0679999999999,RC,9,0,0,5,4,0,,0,9,0,0,1584,1584,4770,249,443,4.536,106,0.07,0,0,40.068,40.068,72.82502545,18.91089212,72.8250254499999,18.91089212,HIGH RISE,0,0
1,1,1,0,1,2,3,129.818666667,RC,8,0,18,2,24,0,,0,26,648,0,1408,2056,9640,838,620,6.622,107,0.146222222,0,0,129.818666667,129.819,72.80800848,18.90797515,72.8080084799999,18.9079751499999,MED HIGH RISE,2,1
1,1,1,0,1,2,3,74.14,R,0,39,9,0,48,0,,0,48,324,2496,0,2820,10110,1371,669,2.335,108,0.137333333,0,0,74.14,74.14,72.81367485,18.90805789,72.8136748499999,18.9080578899999,LOW MED RISE,2,1
1,0,0,0,1,1,1,25.5377777777999,R,3,19,0,0,22,0,,0,22,0,1216,528,1744,5200,655,328,2.01867,109,0.069777778,0,0,25.5377777778,25.5378,72.81653393,18.90806726,72.81653393,18.9080672599999,LOW HIGH RISE,0,0
1,0,0,0,1,1,1,4.9,R,0,0,7,0,7,0,,0,7,252,0,0,252,2100,217,126,1.00722,110,0.032666667,0,0,4.9,4.9,72.81936607,18.90813274,72.81936607,18.9081327399999,MEDIUM RISE,0,0
1,0,0,0,1,1,1,0.19,C,0,3,0,3,0,0,,0,3,0,192,0,192,570,12,159,0.08,111,0.007333333,0,0,0.19,0.19,72.81372515,18.9053421,72.8137251499999,18.9053420999999,LOW RISE,0,0
1,0,0,0,1,1,1,7.62444444444,RC,3,4,0,4,3,0,,0,7,0,256,528,784,2350,139,293,1.61867,112,0.033111111,0,0,7.62444444444,7.62444,72.81657485,18.90535789,72.8165748499999,18.90535789,LOW HIGH RISE,0,0
1,0,0,0,1,1,1,69.3333333333,RC,10,0,4,4,10,0,,0,14,144,0,1760,1904,6500,438,502,5.61556,113,0.096444444,0,0,69.3333333333,69.3333,72.80522515,18.90254211,72.8052251499999,18.9025421099999,MED HIGH RISE,0,0
